SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,60,36,3,0.038183,0.529595,0.056606,,0.865500248
10,60,36,4,0.036581,0.5769,0.055785,,0.880742843
10,60,36,5,0.036762,0.6187,0.056858,,0.887828738
10,60,36,6,0.037197,0.650685,0.055092,,0.891850637
10,60,36,7,0.03792,0.683188,0.0571,,0.894828514
10,60,54,0.01,0.190904,0.284139,0.160495,,0.196266443
10,60,54,0.1,0.171619,0.290964,0.146552,,0.257996943
10,60,54,0.5,0.112005,0.330119,0.10712,,0.493332187
10,60,54,1,0.073234,0.374638,0.080379,,0.672969063
10,60,54,2,0.044805,0.457353,0.061343,,0.821550189
10,60,54,3,0.037423,0.525989,0.055834,,0.867155829
10,60,54,4,0.035811,0.573071,0.055245,,0.882371297
10,60,54,5,0.03596,0.614819,0.055958,,0.889486293
10,60,54,6,0.036335,0.646616,0.054107,,0.893594123
10,60,54,7,0.036998,0.678956,0.056013,,0.896646991
10,60,72,0.01,0.190895,0.284096,0.159818,,0.196216349
10,60,72,0.1,0.171519,0.290578,0.145642,,0.257649368
10,60,72,0.5,0.111622,0.328448,0.106481,,0.492707978
10,60,72,1,0.072585,0.372149,0.079215,,0.673580163
10,60,72,2,0.044006,0.453697,0.060127,,0.823163614
10,60,72,3,0.03654,0.52182,0.054753,,0.869116699
10,60,72,4,0.034906,0.568963,0.054319,,0.884392145
10,60,72,5,0.035032,0.610254,0.054705,,0.891421788
10,60,72,6,0.03534,0.642262,0.053039,,0.895690981
10,60,72,7,0.035946,0.673843,0.055085,,0.898713561
10,60,90,0.01,0.190886,0.284051,0.159624,,0.196162859
10,60,90,0.1,0.171412,0.290185,0.145945,,0.257308865
10,60,90,0.5,0.111172,0.326596,0.105632,,0.49209627
10,60,90,1,0.071929,0.369664,0.078686,,0.674229438
10,60,90,2,0.043188,0.450369,0.059287,,0.824992858
10,60,90,3,0.035645,0.51787,0.053979,,0.871204936
10,60,90,4,0.033973,0.564756,0.053734,,0.88651627
10,60,90,5,0.034087,0.605242,0.053633,,0.893366326
10,60,90,6,0.034342,0.637412,0.051989,,0.897754237
10,60,90,7,0.034889,0.668493,0.054185,,0.900796438
10,60,108,0.01,0.190877,0.28401,0.15916,,0.196116129
